Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Australia	10276477	10483000	10742000	10950000	11167000	11388000	11651000	11799000	12009000	12263000	12507000	12937000	13177000	13380000	13723000	13893000	14033000	14192000	14358000	14514000	14692000	14927000	15178000	15369000	15544000	15758000	16018400	16263900	16532200	16814400	17065100	17284000	17495000	17667000	17855000	18072000	18311000	18517000	18711000	18926000	19153000	19413000	19651400	19895400	20127400	20394800	20697900	20827600	21249200	21691700	22031800	22340000	22723900	23130900
Austria	7047539	7086299	7129864	7175811	7223801	7270889	7322066	7376998	7415403	7441055	7467086	7500482	7544201	7586115	7599038	7578903	7565525	7568430	7562305	7549425	7549433	7568710	7574140	7561910	7561434	7564985	7569794	7574586	7585317	7619567	7677850	7754891	7840709	7905633	7936118	7948278	7959017	7968041	7976789	7992324	8011566	8042293	8081957	8121423	8171966	8227829	8268641	8300788	8336926	8365275	8389771	8406187	8429991	8473786
Bahrain	162501	167924	173107	178048	182774	187348	191782	196203	200953	206469	213102	220808	229588	239860	252139	266686	283843	303236	323511	342829	359902	374125	385950	396447	407223	419425	433491	449006	465254	481142	495944	509645	522751	535711	549170	563730	579697	597400	617537	640913	668239	698749	732541	772058	820505	879534	950951	1032353	1116038	1191539	1251513	1292764	1317827	1332171	
Belgium	9153489	9183948	9220578	9289770	9378113	9463667	9527807	9580991	9618756	9646032	9655549	9673162	9711115	9741720	9772419	9800700	9818227	9830358	9839534	9848382	9859242	9858982	9856303	9855520	9855372	9858308	9861823	9870234	9901664	9937697	9967379	10004486	10045158	10084475	10115603	10136811	10156637	10181245	10203008	10226419	10251250	10286570	10332785	10376133	10421137	10478617	10547958	10625700	10709973	10796493	10920272	11047744	11128246	11195138
Brazil	72775883	74988037	77286629	79643017	82017016	84379369	86721875	89052356	91377490	93709914	96060361	98427874	100812672	103228641	105693434	108219657	110808302	113455308	116160978	118924135	121740438	124610790	127525420	130455659	133364277	136223043	139023394	141767626	144452622	147078659	149648341	152153539	154597985	157011131	159432909	161890816	164392423	166925457	169472347	172006362	174504898	176968205	179393768	181752951	184010283	186142403	188134315	189996976	191765567	193490922	195210154	196935134	198656019	200361925
Canada	17909009	18271000	18614000	18964000	19325000	19678000	20048000	20412000	20744000	21028000	21324000	21645535	21993631	22369408	22774087	23209000	23518000	23796000	24036000	24277000	24593000	24900000	25202000	25456000	25702000	25942000	26204000	26550000	26895000	27379000	27791000	28171682	28519597	28833410	29111906	29354000	29671900	29987200	30247900	30499200	30769700	31081900	31362000	31676000	31995000	32312000	32570505	32887928	33245773	33628571	34005274	34342780	34754312	35158304
China	667070000	660330000	665770000	682335000	698355000	715185000	735400000	754550000	774510000	796025000	818315000	841105000	862030000	881940000	900350000	916395000	930685000	943455000	956165000	969005000	981235000	993885000	1008630000	1023310000	1036825000	1051040000	1066790000	1084035000	1101630000	1118650000	1135185000	1150780000	1164970000	1178440000	1191835000	1204855000	1217550000	1230075000	1241935000	1252735000	1262645000	1271850000	1280400000	1288400000	1296075000	1303720000	1311020000	1317885000	1324655000	1331260000	1337705000	1344130000	1350695000	1357380000
Denmark	4579603	4611687	4647727	4684483	4722072	4759012	4797381	4835354	4864883	4891860	4928757	4963126	4991596	5021861	5045297	5059862	5072596	5088419	5104248	5116801	5123027	5121572	5117810	5114297	5111619	5113691	5120534	5127024	5129516	5132594	5140939	5154298	5171370	5188628	5206180	5233373	5263074	5284991	5304219	5321799	5339616	5358783	5375931	5390574	5404523	5419432	5437272	5461438	5493621	5523095	5547683	5570572	5591572	5613706
Finland	4429634	4461005	4491443	4523309	4548543	4563732	4580869	4605744	4626469	4623785	4606307	4612124	4639657	4666081	4690574	4711440	4725664	4738902	4752528	4764690	4779535	4799964	4826933	4855787	4881803	4902206	4918154	4932123	4946481	4964371	4986431	5013740	5041992	5066447	5088333	5107790	5124573	5139835	5153498	5165474	5176209	5188008	5200598	5213014	5228172	5246096	5266268	5288720	5313399	5338871	5363352	5388272	5413971	5439407
France	46647521	47293811	47990159	48697015	49361165	49945471	50430631	50829214	51175036	51518731	51895793	52320049	52776806	53239101	53666947	54033095	54328016	54565943	54772084	54982879	55224670	55505282	55816654	56149874	56489874	56825158	57155165	57482783	57803824	58113622	58409202	58557072	58849212	59105073	59325793	59540711	59752020	59963792	60185178	60495470	60911057	61355725	61803229	62242474	62702121	63176246	63617975	64012572	64371099	64702921	65023142	65343588	65676758	66028467
