Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Australia	1807.458766	1874.625271	1851.320558	1963.5368	2127.566902	2276.968331	2339.285191	2575.050565	2718.590467	2985.579598	3298.320932	3488.220909	3941.482575	4760.851434	6470.157975	6989.00049	7470.460784	7759.008756	8235.005809	9274.322734	10187.79667	11828.06521	12760.85193	11512.09189	12431.30496	11436.44754	11363.97745	11627.79453	14262.30342	17810.61462	18221.10499	18840.64044	18594.64928	17661.65887	18083.1385	20364.2497	21921.7799	23526.28664	21341.72965	20537.47184	21666.95168	19496.63871	20062.22114	23445.18676	30449.61965	33995.85167	36100.55852	40976.45219	49650.41754	42702.19828	51800.93139	62133.67753	67524.76053	67458.35541
Austria	935.4604269	1031.815004	1087.834243	1167.000532	1269.412583	1374.53214	1486.968606	1569.667183	1677.673528	1825.386126	2053.809514	2375.242674	2917.004844	3881.349717	4619.601728	5272.887682	5664.707422	6794.220945	8185.701971	9770.17215	10843.36172	9362.639985	9387.677728	9514.431834	8969.405618	9150.001211	13051.55561	16353.27943	17536.27209	17426.86354	21628.76023	22356.92392	24820.22783	24023.51547	25584.91782	30252.79469	29742.42881	26646.88394	27289.63071	27116.67608	24517.26745	24489.73553	26351.37568	32102.93055	36694.99726	38241.09136	40428.92255	46554.50983	51293.17065	47526.27105	46444.18444	51045.67795	48348.23206	50546.6975
Bahrain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8537.597307	9269.146282	9446.158325	9421.452327	9590.777424	8706.829379	7041.42332	7554.512017	7957.790065	8029.987087	8528.760059	9057.723469	9088.579443	9707.222832	10138.12399	10376.36478	10525.95003	10628.05926	10013.87948	10330.86615	13562.73414	12846.45333	13149.31329	14344.92822	16027.34476	18156.37747	19460.04091	21049.56148	23037.88149	19251.12154	20545.96702	22466.88346	23339.01944	24689.10563
Belgium	1273.691659	1350.197673	1438.523233	1535.023729	1701.846276	1835.594766	1957.62608	2086.636005	2222.361511	2458.08182	2776.425584	3094.670049	3846.225601	4919.628733	5755.636767	6726.901176	7270.634304	8459.043071	10328.95949	11855.59955	12912.99829	10663.26204	9379.449557	8879.927336	8489.480379	8784.14821	12216.39331	15193.50091	16453.52337	16588.00158	20678.83689	21121.80303	23461.63956	22368.80992	24300.75913	28522.04755	27646.08702	24957.59074	25465.29683	25391.74575	23151.93577	23078.37456	25006.81868	30702.51349	35549.03305	36927.10434	38934.37208	44447.38192	48563.0869	44996.45245	44358.26064	47814.08305	44827.66283	46877.98625
Brazil	208.387302	203.190475	257.8233014	289.0583275	258.6279445	258.2388961	312.0633232	343.5263863	370.7245833	399.7325007	440.6354471	499.9036829	580.6711362	767.9947829	994.7260068	1143.132218	1377.857234	1552.781332	1728.643262	1891.705908	1930.538471	2115.074377	2208.832593	1558.418524	1567.315607	1636.601162	1928.720174	2074.409516	2287.237001	2893.657808	3086.915491	2677.149908	2526.336624	2791.518675	3426.101824	4749.814207	5107.79392	5219.098144	4979.144846	3411.865896	3694.462668	3128.144846	2810.695347	3039.671627	3607.191571	4739.305437	5787.975574	7193.924995	8622.551938	8373.45773	10978.26024	12576.19559	11319.97371	11208.08274
Canada	2294.568814	2231.293824	2255.230044	2354.839122	2529.518179	2739.585849	3010.705908	3173.076194	3411.060154	3703.990405	4115.656516	4579.272544	5133.787796	5861.661641	7032.749541	7478.535911	8770.34698	8879.22104	9082.20853	9997.198432	11118.48251	12279.06036	12437.62509	13368.90674	13768.8791	13991.21455	14335.74387	16158.98743	18814.56455	20586.55751	21302.39691	21591.13916	20692.72203	19936.37706	19785.67904	20509.00309	21129.43543	21709.29634	20875.24831	22109.60399	24031.9512	23573.75007	23995.01633	28026.00601	31829.52256	36029.32267	40244.8531	44328.50977	46398.70244	40764.1215	47465.34593	51790.56695	52409.19313	51958.38124
China	88.72249762	75.04891521	70.12208196	73.42039214	84.57339733	97.47009951	103.1811732	95.49669148	90.37132883	98.88988471	111.8227227	117.1815931	130.1112649	155.0784389	157.9993803	175.8657481	162.9205234	182.6785743	154.9728026	182.2837669	193.0230692	195.3038505	201.4428913	223.2501317	248.2872451	291.7756745	279.1845419	249.4131039	280.9682913	307.4903384	314.4309774	329.7490797	362.8080967	373.8002843	469.2127702	604.2283509	703.120717	774.4675042	820.8657978	864.7308423	949.178065	1041.6377	1135.447952	1273.640744	1490.380055	1731.125235	2069.34363	2651.260119	3413.588648	3748.504063	4433.340886	5447.309378	6092.781886	6807.430824
Denmark	1364.51716	1503.537013	1681.029913	1775.370385	2013.243077	2243.931595	2443.259791	2644.786647	2712.6124	3068.236741	3421.989912	3792.599722	4601.006193	6065.39676	6719.240665	7954.974162	8753.249763	9760.677372	11810.03304	13740.96719	13833.12352	11984.01376	11707.41026	11768.65525	11478.44293	12167.45435	17146.70436	21289.16349	22441.08739	21799.27814	26861.79959	26960.9771	29526.1666	27553.12203	29992.22147	35351.38071	35650.72434	32835.92877	33368.15485	33440.80162	30743.55917	30751.64946	33228.69291	40458.77064	46487.82529	48816.75446	52041.19258	58501.12936	64181.60649	57895.86121	57647.92502	61303.92949	57636.12531	59831.69556
Finland	1179.353011	1327.427224	1411.702398	1522.319242	1707.503938	1882.086858	2010.213456	2034.18905	1907.077272	2178.03525	2467.476347	2718.207552	3180.005873	4176.272761	5301.542778	6260.191279	6744.696982	7074.35653	7634.482408	9339.177076	11232.27456	10934.56809	10945.27734	10505.83366	10841.56713	11405.93365	14962.25536	18580.65865	22056.70175	23983.84575	28380.54891	25503.21521	22337.48712	17617.03044	20305.58355	26273.4659	25777.6413	24676.49708	25989.4075	26178.79178	24253.25042	24913.24452	26834.02625	32816.16088	37637.74735	38968.20239	41118.57011	48286.07069	53403.29305	47104.31821	46202.41516	50790.72415	47243.73771	49146.64663
France	1343.082625	1445.151914	1590.196487	1756.804062	1922.697598	2045.442146	2193.06134	2350.344029	2537.313463	2731.540442	2870.15289	3183.568516	3870.705723	4984.711438	5338.969377	6699.614706	6873.254315	7540.679637	9278.141389	11200.47032	12739.33013	11126.68196	10513.6544	10006.29385	9429.102335	9770.269518	13551.81641	16324.33903	17706.51055	17726.00497	21833.89813	21783.24945	23937.87205	22503.90543	23626.08692	27038.51207	27015.74635	24359.85283	25101.83293	24799.80638	22466.17332	22527.94412	24276.04309	29692.33121	33877.71449	34880.5758	36544.59011	41600.82532	45417.49313	41631.27642	40706.07833	43809.65647	40908.27061	42503.30359
Germany	0	0	0	0	0	0	0	0	0	0	2750.719742	3180.055927	3795.566081	5027.660309	5617.741721	6212.763127	6609.753392	7653.884711	9446.166785	11238.34067	12092.38185	10170.44628	9876.228232	9827.022409	9277.932299	9393.891691	13410.8971	16614.4101	17863.4379	17697.16351	22219.57253	23269.3818	26333.53744	25488.51952	27087.55845	31715.99782	30538.7025	27012.17132	27300.30325	26756.15168	23685.35075	23654.28277	25170.82421	30318.51641	34121.67408	34649.91635	36399.55785	41760.76543	45634.52719	41668.79263	41723.3659	45870.61961	43931.69171	46268.64107
Iceland	1414.982269	1418.12587	1562.23073	1831.705656	2297.920643	2723.52095	3215.694178	3125.649492	2354.480027	2039.196295	2605.807251	3289.27699	4060.740454	5499.500858	7121.038413	6527.960172	7669.966001	10071.08497	11365.19167	12785.14651	14991.25491	15310.29991	13868.48614	11805.23906	12096.25918	12502.49779	16593.59876	22709.86873	24731.50363	22690.81191	25675.11049	27109.39617	27434.35403	23849.35504	24293.20776	26938.0615	27987.43682	28107.57571	30979.93478	32271.02622	31819.70622	28589.74345	31945.12952	39114.24315	47032.53387	56611.33373	56293.79023	68835.30643	55445.71369	40263.39026	41695.99365	45972.25663	44221.72548	47461.18559
Indonesia	0	0	0	0	0	0	0	56.63365366	68.90979235	79.13590479	84.65857417	84.18336907	96.72963819	139.600737	215.954891	248.8037197	297.0771012	356.9004018	391.0344043	387.7612411	536.1936827	621.1620283	621.9773388	548.2990562	550.6831332	537.6060648	482.9562316	449.1837977	515.4126965	578.2220606	640.5666643	705.0475168	752.3179827	840.3757932	925.7216696	1041.31354	1153.587564	1078.472261	470.1961402	679.7936722	789.8058801	756.931013	909.8873302	1076.219005	1160.614924	1273.465148	1601.031191	1871.288406	2178.265663	2272.040982	2946.656061	3469.753726	3551.423737	3475.250474
India	83.80705637	87.04345721	91.67593046	103.1604811	117.8628141	121.696918	91.75116176	98.1565745	101.6949916	109.5299325	114.4041941	120.6968307	125.201015	146.442233	166.5642458	161.0323114	164.1086371	189.6167729	209.3518951	227.9164288	271.2495839	275.3210064	279.2208778	296.9175881	282.2862435	302.645585	317.1100126	347.809584	361.9319056	353.8203909	375.890793	310.0837677	324.4951264	308.5347869	354.8548761	383.5509262	410.8183568	427.2361968	425.4452943	455.4735407	457.2835418	466.2141765	486.640454	565.335483	649.7106479	740.1142606	830.1632213	1068.678519	1042.084209	1147.238685	1417.073614	1539.606447	1503.003703	1498.872175
Ireland	685.6147124	739.2764064	797.0062884	852.1353017	965.1354227	1023.773726	1074.506506	1152.004952	1124.516636	1291.34992	1485.030135	1702.230535	2078.387857	2421.848274	2514.414153	2970.430932	2916.667841	3423.651204	4395.593125	5424.539977	6366.074727	5980.17655	6154.486767	5909.335193	5686.343703	6005.732475	8104.070859	9572.345122	10705.17017	11164.65696	14017.29155	14073.14088	15698.69303	14642.42566	15887.04984	19139.32588	20809.80814	22496.1378	24190.05707	26244.23914	26100.66549	28051.84156	32354.30246	40904.59178	47427.68721	50567.8123	53934.36728	61215.49178	60971.0858	51493.52082	47900.83929	51951.59194	48391.32573	50503.4228
Japan	478.9953402	563.5867598	633.6403152	717.8669152	835.6572525	919.7766882	1058.503561	1228.90921	1450.619652	1669.0982	2003.647047	2234.261666	2917.658976	3931.301627	4281.359928	4581.574389	5111.295149	6230.335688	8675.013997	8953.59152	9307.839295	10212.37814	9428.87465	10213.95828	10786.78618	11465.72578	16882.27395	20355.60522	24592.77201	24505.7673	25123.63179	28540.77148	31013.64715	35451.29751	38814.89438	42522.06659	37421.67386	34294.89898	30967.28809	34998.80997	37291.70616	32716.41867	31235.58818	33690.93773	36441.50449	35781.16627	34102.11478	34095.02343	37972.05574	39473.36751	43117.82967	46203.69804	46679.26543	38633.70806
Kuwait	0	0	0	0	0	4348.806887	4480.980272	4166.778601	4164.996411	3989.803288	3829.358671	4800.819939	5131.332239	5832.205097	13160.55885	11450.42755	11808.44317	12034.77552	12519.49801	18982.32802	20881.51264	17406.71023	14317.39131	13240.83724	13148.47366	12393.35562	9828.932289	11650.48766	10306.94758	11807.30243	8946.505088	5505.938558	0	0	0	17143.49245	19866.30273	18551.62079	15065.65176	16564.45564	19786.69504	17616.22906	18620.35233	22621.85829	27061.88577	35185.93067	42011.77433	44902.31827	54548.61531	37160.54324	38584.4796	49294.96686	53544.04344	52197.34134
Luxembourg	2242.015817	2222.366366	2311.798849	2441.038555	2755.633117	2780.092719	2900.433218	2909.660629	3175.367369	3658.900683	4478.685554	4621.82418	5717.335396	7760.229263	9343.611767	9067.031471	9889.594989	10927.08985	13582.23911	15843.38857	17225.93998	14418.72184	13120.19148	12894.12761	12636.65017	13006.59893	18912.73158	23386.75593	26279.35705	27736.8614	34872.07347	37249.84256	41234.07509	41750.7807	45779.80475	53177.3039	52219.31007	46394.89294	47893.08542	51728.3126	48826.54579	47558.37221	52190.06556	64422.27899	74677.3784	79593.55438	88395.675	102518.1329	112481.2277	100729.2841	102856.9717	113738.726	106022.7991	110697.0291
Mexico	337.5694522	354.3868978	369.1352771	397.9025126	456.8517201	481.4794909	520.209296	550.225824	589.7779271	633.0844767	670.7484507	717.0582055	801.0900976	950.4039625	1200.983354	1426.127187	1402.256265	1253.817911	1529.817355	1957.934293	2762.594201	3477.418796	2366.261779	1988.064421	2300.32245	2369.312247	1630.019343	1731.667933	2216.295038	2644.197603	3052.032173	3577.808161	4050.999455	5498.546395	5637.266192	3603.975688	4088.455459	4855.629476	4986.252659	5663.388512	6581.536932	6879.669807	6948.407618	6601.042065	7042.024783	7823.825498	8622.586888	9190.492412	9559.814477	7690.190507	8920.689016	9802.894353	9817.837489	10307.28304
Netherlands	1068.784587	1159.392357	1240.677894	1328.036649	1541.947365	1708.096356	1835.801424	1991.360686	2185.248659	2446.335454	2878.407873	3322.442432	4036.21103	5256.700719	6333.891664	7213.549887	7793.916739	9014.402214	10993.5227	12585.75651	13562.56079	11328.9106	10888.56608	10502.78897	9811.281412	9761.099606	13554.68186	16431.749	17449.4839	17108.4402	20936.88167	21370.91393	23506.61237	22737.98098	24236.5483	28771.69291	28498.68	26250.37444	27450.71919	27822.83658	25958.15308	26554.06303	28762.19453	35186.87093	39680.54071	41198.70085	44009.0282	50858.45597	56630.84891	51906.45813	50338.25483	53540.60536	49128.08727	50793.14296
Norway	1441.75566	1560.324931	1667.24743	1775.582655	1937.884614	2164.468823	2317.194884	2514.043772	2662.117492	2875.235844	3284.438089	3708.969835	4378.263072	5641.025341	6743.810213	8126.631705	8836.163007	10157.73005	11337.52862	12903.01256	15594.7853	15334.60796	15031.3091	14722.29013	14757.75641	15474.28114	18525.63077	22080.22208	23769.41839	23840.28204	27731.80167	28077.17764	29931.6322	27404.58806	28713.47793	34162.32136	36554.67179	35917.68944	34105.91848	35645.08916	37472.67167	37867.14222	42291.82522	49263.51315	56627.65738	65767.01961	72959.73009	83556.29682	95189.86593	78457.38019	86096.13602	99091.0945	99635.87453	100818.5032
Qatar	0	0	0	0	0	0	0	0	0	0	2760.067603	3250.881036	3913.336367	5585.778553	15633.1174	15288.85205	18898.53863	19832.7891	21097.68588	27439.76895	34990.05365	34913.6095	27400.68534	20913.36021	19646.63815	16584.542	12686.98169	12866.59234	13562.95498	14010.37814	15446.33079	14189.04309	15616.95275	14546.0399	14894.6899	16238.34561	17677.58958	21337.09897	18633.9192	21660.4443	29914.26478	28666.60951	30748.53426	35644.40479	44051.65727	54228.83171	62920.64413	69166.72167	84812.44171	62527.63527	71510.15575	88861.00147	92801.039	93714.06338
Russia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428.761966	3485.112202	3427.317519	3095.08716	2929.303282	2663.456988	2669.946123	2643.905637	2737.555441	1834.845844	1330.747984	1771.582819	2100.356774	2373.393213	2974.737698	4109.384718	5338.412141	6947.50213	9145.453575	11699.67894	8615.673388	10709.76936	13324.28784	14090.64892	14611.70078
Saudi Arabia	0	0	0	0	0	0	0	0	780.9959694	805.1775222	864.1173144	1121.713306	1455.435226	2170.391876	6428.790824	6306.537396	8194.277783	8987.807256	9181.753057	12069.01343	16692.44625	17543.52427	13685.88505	10842.12828	9473.100428	7827.29565	6248.017488	5898.507526	5841.761312	6086.430799	7205.821913	7845.683349	7895.458466	7441.755331	7381.822465	7672.486109	8369.068214	8656.16479	7559.667281	8203.434549	9354.467924	8760.091185	8639.144179	9389.535852	10853.62751	13303.30974	14855.00096	16048.58205	19714.39514	16013.2804	19326.58255	24116.17413	25945.96633	25961.80842
Sweden	1983.106544	2147.229311	2315.846527	2492.545346	2758.943466	3007.597978	3240.611037	3490.550337	3683.313694	3972.002749	4669.438672	5060.342739	5942.148771	7198.271657	7975.850516	9974.657321	10715.03809	11287.19913	12442.57512	14667.40312	16856.76109	15366.66859	13545.25912	12430.45893	12914.33068	13474.16135	17727.49533	21485.29387	24188.76594	25300.39512	30162.31577	31374.11699	32338.50395	24080.89967	25747.24169	29914.33175	32587.2641	29897.79263	30143.62746	30577.08177	29283.00505	26969.24457	29571.70446	36961.42537	42442.2782	43085.42041	46256.16336	53324.61606	55746.84943	46206.94349	52076.25591	59593.28711	57134.07707	60430.21558
Switzerland	1787.360348	1971.316323	2131.391652	2294.182847	2501.29319	2620.475547	2784.733548	2960.722586	3121.889031	3344.783603	0	0	0	0	0	0	0	0	0	0	18785.03644	17110.44514	17434.88509	17298.56641	16457.82916	16613.62848	23691.97026	29484.873	31664.15929	30325.75893	38332.15172	38303.04989	39435.53813	38005.32345	41738.97021	48540.57749	46610.05975	40429.93726	41487.69019	40577.33663	37813.23426	38538.64447	41336.72192	47960.56497	53255.97631	54798.57348	57346.94588	63225.26734	72120.22674	69669.33497	74276.71842	87998.44468	83295.25883	84815.40701
United Kingdom	1380.306241	1452.544709	1513.651449	1592.614477	1729.399978	1850.954769	1959.62783	2023.627564	1896.386749	2032.34701	2346.186207	2643.028402	3026.410469	3408.717006	3679.876019	4400.381791	4228.881627	4777.68458	6054.390601	7860.25073	10070.28519	9567.440899	9123.523361	8650.78115	8139.176888	8591.459417	10531.64172	12906.42532	15646.03027	15757.09053	18632.90046	19434.6251	20104.89792	18072.89211	19531.98176	21295.89728	22426.94555	24670.97448	26144.87153	26555.07736	26296.44819	25864.39497	28202.85426	32586.6428	38309.83914	39934.90462	42447.83692	48322.67133	45170.53763	37075.53261	38363.44144	40972.02729	41053.74494	41787.46798
United States	3007.123445	3066.562869	3243.843078	3374.515171	3573.941185	3827.52711	4146.316646	4336.426587	4695.92339	5032.144743	5246.961746	5623.588445	6109.692419	6741.101133	7242.324202	7819.958976	8611.461463	9471.528658	10587.41604	11695.36336	12597.64551	13993.35849	14439.01513	15561.26814	17134.3157	18269.27927	19115.2403	20100.78873	21483.11445	22922.46545	23954.52342	24404.99484	25492.95555	26464.78326	27776.80655	28782.32524	30068.22721	31572.63522	32949.31377	34620.84289	36449.92954	37273.53388	38165.98917	39677.30176	41921.71414	44307.8326	46437.10733	48061.42147	48401.48653	47001.42822	48377.39385	49803.49286	51495.87485	53041.98141
